,budget,popularity,revenue,runtime,market_share_genres,promedio_revenue_month,promedio_revenue_cast,promedio_revenue_crew,promedio_revenue_production_companies
2701,171916321.63080406,1.662,637202452.6407031,133.0,0.285459189790741,106972830.34683679,300932336.8913062,444148007.22629917,593226900.7153279
2702,234431347.6783692,62.814,1154339488.66847,138.0,0.285459189790741,203966349.12633517,258688800.2827764,496673806.236911,258087138.06258562
2703,218802591.16647792,137.103,1023701093.2451878,143.0,0.285459189790741,185691009.3341934,340115662.38746697,541908740.6315291,344958027.02901816
2704,203173834.65458664,49.963,427195736.5792471,147.0,0.285459189790741,185691009.3341934,578214973.9041386,583742078.6073314,350562791.1112397
2705,3907189.12797282,10.938,53445536.73941381,111.0,0.285459189790741,63076230.05666705,39453418.77621097,39453418.77621097,53445536.73941381
2706,3125751.302378256,2.383,2614268.98801359,120.0,0.285459189790741,63076230.05666705,2614268.98801359,2614268.98801359,2614268.98801359
2707,132844430.35107587,26.234,126462415.12643988,104.0,0.285459189790741,63076230.05666705,239086247.45388195,262884265.38126686,173882999.32423982
2708,200048083.3522084,84.002,391340621.6055737,85.0,0.285459189790741,87242419.5314648,213991152.65650097,391340621.6055737,391340621.6055737
2709,234431347.6783692,52.274,664203727.0143275,129.0,0.285459189790741,201237486.86604062,258688800.2827764,496673806.236911,258087138.06258562
2710,234431347.6783692,16.877,331347003.1634555,138.0,0.285459189790741,201237486.86604062,273367225.63498676,201545168.59320056,228308166.46423396
2711,146910311.211778,105.996,1748684341.6629636,201.0,0.285459189790741,182565449.76427466,542642265.1865075,707206676.2196243,147986262.88123566
2712,156287565.1189128,30.586,190631774.7454261,113.0,0.285459189790741,182565449.76427466,190631774.7454261,225299347.75348344,101851613.61915392
2713,123467176.44394112,17.765,270398600.542891,154.0,0.285459189790741,182565449.76427466,118744019.72417729,305970240.0878424,103363350.47429048
2714,109401295.58323896,21.873,192575074.64749807,125.0,0.285459189790741,182565449.76427466,103071534.0138585,390791056.7827579,173882999.32423982
2715,71892279.95469989,15.322,98258845.52036604,75.0,0.0649119246577189,118736550.8626721,98258845.52036604,98258845.52036604,97759988.61791085
2716,146910311.211778,107.369,1469627513.1622777,100.0,0.0649119246577189,203966349.12633517,735296812.8241358,840522619.8010564,918661370.921403
2717,14847318.686296716,9.539,23094238.40746545,80.0,0.0649119246577189,232559979.0270753,23094238.40746545,15507331.86467455,23094238.40746545
2718,125030052.09513023,25.026,107080181.43262152,93.0,0.0649119246577189,201237486.86604062,107080181.43262152,116849479.76982537,144214320.8367246
2719,28131761.721404303,15.74,158733363.92610645,95.0,0.1877643289438287,75051078.40614595,123938365.78468326,299400353.2128355,158733363.92610645
2720,31257513.02378256,13.538,27244303.100260023,101.0,0.1877643289438287,75051078.40614595,40584653.75530765,65767505.85159342,27244303.100260023
2721,19443048.311157417,2.861,13731003.494921856,90.0,0.1877643289438287,92037411.31436121,13731003.494921856,13731003.494921856,16987631.457158275
2722,78143782.5594564,21.164,277414158.6702496,116.0,0.1877643289438287,92037411.31436121,161517465.01080135,106626967.4922967,256678100.51166594
2723,7501803.1257078145,11.557,124068696.02457078,121.0,0.1877643289438287,92037411.31436121,62911991.28601792,124068696.02457078,124068696.02457078
