,budget,genres,popularity,production_companies,production_countries,revenue,runtime,spoken_languages,crew,cast,keywords,month,day,market_share_genres,people_vaccinated,people_fully_vaccinated,total_boosters,New_cases,New_deaths
138,41669827.19108084,16,12.901,574,70,221757188.17010844,117.0,19,2278,1840,234,9,24,0.0398833333292498,0.0,0.0,0.0,0.0,0.0
139,45468490.262117445,0,15.93,1301,70,126301361.83921511,119.0,19,1543,1534,651,6,23,0.0821712914208759,0.0,0.0,0.0,0.0,0.0
140,3940602.489383512,0,7.445,1404,70,7578081.710352907,93.0,27,1765,509,719,7,6,0.0821712914208759,0.0,0.0,0.0,0.0,0.0
141,45468490.262117445,0,10.64,2184,70,233586790.639918,96.0,19,945,434,1028,12,20,0.0821712914208759,0.0,0.0,0.0,0.0,0.0
142,50520544.73568605,1,11.182,731,34,75780817.10352907,178.0,19,1643,158,620,3,9,0.1203167795017513,0.0,0.0,0.0,0.0,0.0
143,60624653.682823256,1,2.904,1148,54,4481172.318055352,95.0,19,777,620,414,4,5,0.1203167795017513,0.0,0.0,0.0,0.0,0.0
144,116197252.89207792,1,20.9,574,70,457789112.2321863,134.0,19,1108,956,596,9,8,0.1203167795017513,0.0,0.0,0.0,0.0,0.0
145,10104108.94713721,3,13.13,2113,70,39911230.34119198,120.0,19,82,1158,464,4,9,0.17376526410875,0.0,0.0,0.0,0.0,0.0
146,25260272.367843024,3,8.225,2107,70,125567626.7077464,102.0,19,259,956,104,4,23,0.17376526410875,0.0,0.0,0.0,0.0,0.0
147,22229039.68370186,3,8.647,485,70,182610020.1249964,87.0,23,1531,1479,1039,6,17,0.17376526410875,0.0,0.0,0.0,0.0,0.0
148,32838354.07819593,3,13.454,775,70,258054213.78689703,114.0,19,173,721,647,12,3,0.17376526410875,0.0,0.0,0.0,0.0,0.0
149,30312326.841411628,3,11.962,106,69,170927174.4671958,103.0,19,248,1716,907,12,15,0.17376526410875,0.0,0.0,0.0,0.0,0.0
150,6567670.815639187,4,42.455,1003,70,144341753.2629902,114.0,19,1504,1830,824,2,9,0.0499007377442387,0.0,0.0,0.0,0.0,0.0
151,2248164.240738029,4,3.611,1404,70,11619725.289207792,84.0,19,1572,2289,939,3,31,0.0499007377442387,0.0,0.0,0.0,0.0,0.0
152,12896788.671090936,4,6.301,114,20,67192324.49846244,120.0,23,863,954,994,10,13,0.0499007377442387,0.0,0.0,0.0,0.0,0.0
153,42942463.02533314,6,14.734,2224,70,356675045.8339435,138.0,56,42,591,1276,4,4,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
154,5557259.920925465,6,4.321,2184,70,136405470.78635234,105.0,19,1525,1827,756,6,4,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
155,7072876.262996047,6,8.999,2256,70,22572579.387904525,99.0,19,279,432,765,8,1,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
156,19197806.9995607,6,14.402,2107,70,119682549.07614,122.0,19,2167,677,824,11,14,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
157,5052054.473568605,6,46.85,2229,70,592355417.9518173,120.0,19,1105,2078,1239,11,21,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
158,30312326.841411628,6,13.573,220,70,404164357.8854884,139.0,19,728,203,1005,12,17,0.3649088130370737,0.0,0.0,0.0,0.0,0.0
159,176821906.57490116,7,7.171,1518,70,178455195.3697701,102.0,56,1582,2239,180,1,1,0.0399054185118331,0.0,0.0,0.0,0.0,0.0
160,14145752.525992094,10,19.06,1225,69,307786213.65213066,111.0,19,1925,758,768,6,6,0.1070104156653349,0.0,0.0,0.0,0.0,0.0
161,9093698.052423488,10,26.901,2107,70,170759441.20661885,98.0,19,279,2007,104,11,3,0.1070104156653349,0.0,0.0,0.0,0.0,0.0
162,2443764.633791185,16,3.82,1741,61,7025826.479683702,110.0,58,251,326,908,10,1,0.0260961938467037,0.0,0.0,0.0,0.0,0.0
163,32838354.07819593,16,13.885,1518,70,109675151.6077903,125.0,27,1146,591,824,10,8,0.0260961938467037,0.0,0.0,0.0,0.0,0.0
164,18692601.55220384,18,15.971,2184,70,160655332.25948164,135.0,56,412,434,686,7,14,0.0359250861634383,0.0,0.0,0.0,0.0,0.0
